1.
index,params,recall@10,qps,build_time_s,queries
IVFPQ,"nlist=1024 nprobe=128 m=64 nbits=8",0.876010,7882.88,24.475,10000
IVFPQfs,"nlist=1024 nprobe=1 m=64 nbits=4 bbs=32 k_reorder=10",0.396940,185600.54,14.706,10000
IVFPQfs,"nlist=1024 nprobe=2 m=64 nbits=4 bbs=32 k_reorder=10",0.551850,159526.63,14.706,10000
IVFPQfs,"nlist=1024 nprobe=4 m=64 nbits=4 bbs=32 k_reorder=10",0.705550,167753.04,14.706,10000
IVFPQfs,"nlist=1024 nprobe=8 m=64 nbits=4 bbs=32 k_reorder=10",0.832440,148173.41,14.706,10000
IVFPQfs,"nlist=1024 nprobe=16 m=64 nbits=4 bbs=32 k_reorder=10",0.919960,154751.98,14.706,10000
IVFPQfs,"nlist=1024 nprobe=32 m=64 nbits=4 bbs=32 k_reorder=10",0.967310,126874.02,14.706,10000
IVFPQfs,"nlist=1024 nprobe=64 m=64 nbits=4 bbs=32 k_reorder=10",0.984440,94389.23,14.706,10000
IVFPQfs,"nlist=1024 nprobe=128 m=64 nbits=4 bbs=32 k_reorder=10",0.987770,70838.95,14.706,10000
4.
index,params,recall@10,qps,build_time_s,queries
IVFFlat,"nlist=1024 nprobe=1",0.397720,133574.53,14.138,10000
IVFFlat,"nlist=1024 nprobe=2",0.553430,75150.17,14.138,10000
IVFFlat,"nlist=1024 nprobe=4",0.708310,42053.40,14.138,10000
IVFFlat,"nlist=1024 nprobe=8",0.837110,21351.62,14.138,10000
IVFFlat,"nlist=1024 nprobe=16",0.926870,11314.50,14.138,10000
IVFFlat,"nlist=1024 nprobe=32",0.976790,6400.22,14.138,10000
IVFFlat,"nlist=1024 nprobe=64",0.995240,3163.33,14.138,10000
IVFFlat,"nlist=1024 nprobe=128",0.999080,1632.20,14.138,10000
IVFPQ,"nlist=1024 nprobe=1 m=64 nbits=8",0.389550,256545.23,24.094,10000
IVFPQ,"nlist=1024 nprobe=2 m=64 nbits=8",0.534920,208335.35,24.094,10000
IVFPQ,"nlist=1024 nprobe=4 m=64 nbits=8",0.671670,141966.84,24.094,10000
IVFPQ,"nlist=1024 nprobe=8 m=64 nbits=8",0.774270,89288.08,24.094,10000
IVFPQ,"nlist=1024 nprobe=16 m=64 nbits=8",0.835970,51907.03,24.094,10000
IVFPQ,"nlist=1024 nprobe=32 m=64 nbits=8",0.865050,30349.30,24.094,10000
IVFPQ,"nlist=1024 nprobe=64 m=64 nbits=8",0.874230,15396.94,24.094,10000
IVFPQ,"nlist=1024 nprobe=128 m=64 nbits=8",0.876010,8688.13,24.094,10000
IVFPQfs,"nlist=1024 nprobe=1 m=64 nbits=4 bbs=32 k_reorder=10",0.396940,227998.06,18.061,10000
IVFPQfs,"nlist=1024 nprobe=2 m=64 nbits=4 bbs=32 k_reorder=10",0.551850,216939.00,18.061,10000
IVFPQfs,"nlist=1024 nprobe=4 m=64 nbits=4 bbs=32 k_reorder=10",0.705550,199188.66,18.061,10000
IVFPQfs,"nlist=1024 nprobe=8 m=64 nbits=4 bbs=32 k_reorder=10",0.832440,184468.70,18.061,10000
IVFPQfs,"nlist=1024 nprobe=16 m=64 nbits=4 bbs=32 k_reorder=10",0.919960,164585.71,18.061,10000
