index,params,recall@10,qps,build_time_s,queries
Flat,"metric=l2",1.000000,209.82,0.040,10000
IVFFlat,"metric=l2 nlist=512 nprobe=1",0.233580,45302.29,8.916,10000
IVFFlat,"metric=l2 nlist=512 nprobe=2",0.328660,22826.17,8.916,10000
IVFFlat,"metric=l2 nlist=512 nprobe=4",0.431060,11363.18,8.916,10000
IVFFlat,"metric=l2 nlist=512 nprobe=8",0.557490,6296.41,8.916,10000
IVFFlat,"metric=l2 nlist=512 nprobe=16",0.709060,3321.89,8.916,10000
IVFFlat,"metric=l2 nlist=512 nprobe=32",0.863000,1798.44,8.916,10000
IVFFlat,"metric=l2 nlist=512 nprobe=64",0.965800,940.01,8.916,10000
IVFFlat,"metric=l2 nlist=512 nprobe=128",0.996370,533.00,8.916,10000
IVFFlat,"metric=l2 nlist=1024 nprobe=1",0.201700,64062.88,21.532,10000
IVFFlat,"metric=l2 nlist=1024 nprobe=2",0.291790,38839.49,21.532,10000
IVFFlat,"metric=l2 nlist=1024 nprobe=4",0.397100,20378.83,21.532,10000
IVFFlat,"metric=l2 nlist=1024 nprobe=8",0.526330,11632.25,21.532,10000
IVFFlat,"metric=l2 nlist=1024 nprobe=16",0.676640,6495.70,21.532,10000
IVFFlat,"metric=l2 nlist=1024 nprobe=32",0.819670,3291.18,21.532,10000
IVFFlat,"metric=l2 nlist=1024 nprobe=64",0.931970,1722.16,21.532,10000
IVFFlat,"metric=l2 nlist=1024 nprobe=128",0.984470,920.34,21.532,10000
IVFFlat,"metric=l2 nlist=2048 nprobe=1",0.183350,83936.67,44.900,10000
IVFFlat,"metric=l2 nlist=2048 nprobe=2",0.268970,51703.31,44.900,10000
IVFFlat,"metric=l2 nlist=2048 nprobe=4",0.375080,32388.80,44.900,10000
IVFFlat,"metric=l2 nlist=2048 nprobe=8",0.506040,17998.68,44.900,10000
IVFFlat,"metric=l2 nlist=2048 nprobe=16",0.657830,9838.79,44.900,10000
IVFFlat,"metric=l2 nlist=2048 nprobe=32",0.804950,5423.44,44.900,10000
IVFFlat,"metric=l2 nlist=2048 nprobe=64",0.911970,2708.14,44.900,10000
IVFFlat,"metric=l2 nlist=2048 nprobe=128",0.972130,1432.59,44.900,10000
IVFFlat,"metric=l2 nlist=4096 nprobe=1",0.163130,81735.22,86.175,10000
IVFFlat,"metric=l2 nlist=4096 nprobe=2",0.232700,59937.07,86.175,10000
IVFFlat,"metric=l2 nlist=4096 nprobe=4",0.314160,38965.54,86.175,10000
IVFFlat,"metric=l2 nlist=4096 nprobe=8",0.412950,24531.33,86.175,10000
IVFFlat,"metric=l2 nlist=4096 nprobe=16",0.533920,15024.14,86.175,10000
IVFFlat,"metric=l2 nlist=4096 nprobe=32",0.695270,8180.85,86.175,10000
IVFFlat,"metric=l2 nlist=4096 nprobe=64",0.857000,4179.57,86.175,10000
IVFFlat,"metric=l2 nlist=4096 nprobe=128",0.954710,2054.25,86.175,10000
IVFPQ,"metric=l2 nlist=512 nprobe=1 m=100 nbits=8",0.225380,198033.63,38.128,10000
IVFPQ,"metric=l2 nlist=512 nprobe=2 m=100 nbits=8",0.313630,139176.50,38.128,10000
IVFPQ,"metric=l2 nlist=512 nprobe=4 m=100 nbits=8",0.405450,90140.66,38.128,10000
IVFPQ,"metric=l2 nlist=512 nprobe=8 m=100 nbits=8",0.513740,51791.58,38.128,10000
IVFPQ,"metric=l2 nlist=512 nprobe=16 m=100 nbits=8",0.631640,28502.53,38.128,10000
IVFPQ,"metric=l2 nlist=512 nprobe=32 m=100 nbits=8",0.735290,18788.36,38.128,10000
IVFPQ,"metric=l2 nlist=512 nprobe=64 m=100 nbits=8",0.793900,11194.14,38.128,10000
IVFPQ,"metric=l2 nlist=512 nprobe=128 m=100 nbits=8",0.808990,7934.85,38.128,10000
IVFPQ,"metric=l2 nlist=1024 nprobe=1 m=100 nbits=8",0.196810,217492.55,51.285,10000
