index,params,recall@10,qps,build_time_s,queries
IVFFlat,"nlist=1204 nprobe=128",0.998840,1855.10,16.203,10000
IVFPQ,"nlist=1204 nprobe=1 m=64 nbits=8",0.380730,248363.67,25.328,10000
IVFPQ,"nlist=1204 nprobe=2 m=64 nbits=8",0.525740,203691.30,25.328,10000
IVFPQ,"nlist=1204 nprobe=4 m=64 nbits=8",0.662600,139062.12,25.328,10000
IVFPQ,"nlist=1204 nprobe=8 m=64 nbits=8",0.765530,92919.75,25.328,10000
IVFPQ,"nlist=1204 nprobe=16 m=64 nbits=8",0.830760,57774.97,25.328,10000
IVFPQ,"nlist=1204 nprobe=32 m=64 nbits=8",0.861870,28222.90,25.328,10000
IVFPQ,"nlist=1204 nprobe=64 m=64 nbits=8",0.872840,16507.65,25.328,10000
IVFPQ,"nlist=1204 nprobe=128 m=64 nbits=8",0.875230,9239.54,25.328,10000
IVFPQfs,"nlist=1204 nprobe=1 m=64 nbits=4 bbs=32 k_reorder=0",0.325050,370719.89,21.955,10000
IVFPQfs,"nlist=1204 nprobe=2 m=64 nbits=4 bbs=32 k_reorder=0",0.426530,398732.03,21.955,10000
IVFPQfs,"nlist=1204 nprobe=4 m=64 nbits=4 bbs=32 k_reorder=0",0.509040,372502.48,21.955,10000
IVFPQfs,"nlist=1204 nprobe=8 m=64 nbits=4 bbs=32 k_reorder=0",0.563910,340114.27,21.955,10000
IVFPQfs,"nlist=1204 nprobe=16 m=64 nbits=4 bbs=32 k_reorder=0",0.595900,285102.07,21.955,10000
IVFPQfs,"nlist=1204 nprobe=32 m=64 nbits=4 bbs=32 k_reorder=0",0.609300,233721.58,21.955,10000
IVFPQfs,"nlist=1204 nprobe=64 m=64 nbits=4 bbs=32 k_reorder=0",0.613930,168458.12,21.955,10000
IVFPQfs,"nlist=1204 nprobe=128 m=64 nbits=4 bbs=32 k_reorder=0",0.614620,111475.41,21.955,10000
